payment_type,profit_per_order,sales_per_customer,category_id,category_name,customer_city,customer_country,customer_segment,customer_state,customer_zipcode,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_date,order_item_discount,order_item_discount_rate,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total_amount,order_profit_per_order,order_region,order_state,order_status,product_category_id,product_name,product_price,shipping_date,shipping_mode,label,shipping_duration,high_volume_customer,high_profit_margin
2,0.8243598488850102,0.1648801793247025,45.0,18,343,0,0,26,725.0,7.0,3,40.60251,-74.02429,2,622,18,2059.9795,2017-04-17 00:00:00+01:00,0.2,0.25,0.1959748743718593,0.48,0.0,399.98,0.1513531694695989,144.01884,12,781,5,45.0,23,399.98,2017-05-06 00:00:00+01:00,2,1,19.0,0,1
1,0.8105843212456653,0.146313727204112,17.0,12,157,0,2,2,78114.94,4.0,0,32.779408,-98.81039,1,445,52,1311.7788,2015-09-09 00:00:00+01:00,0.027,0.05,0.0251256281407035,0.31,1.0,299.95,0.1466813247089262,87.36131,22,88,1,17.0,67,59.99,2015-09-07 00:00:00+01:00,2,1,-2.0,0,1
0,0.8022326353259996,0.0961043205117001,48.0,45,64,1,1,34,725.0,7.0,3,18.264338,-66.370575,0,1411,101,8595.548,2016-09-30 00:00:00+01:00,0.02,0.05,0.0954773869346733,0.28,0.0,199.99,0.0939249676584735,48.689564,19,542,0,48.0,66,199.99,,3,1,11.0,0,0
1,0.7986118652825942,0.0612824124630693,24.0,46,501,0,0,2,85222.0,5.0,6,30.39185,-111.95882,4,1730,143,11423.373,2016-08-26 00:00:00+01:00,0.04,0.13,0.0201055276381909,0.26,0.5,150.0,0.060025873221216,35.82906,6,633,1,24.0,55,50.0,2016-10-04 00:00:00+01:00,3,0,39.0,0,0
3,0.8090928208896953,0.09749730347884,48.0,45,415,0,0,33,10014.845,7.0,3,40.188007,-74.068,4,2587,143,3356.9102,2016-09-29 00:00:00+01:00,0.004,0.01,0.0954773869346733,0.38,0.0,199.99,0.0979719534282018,81.158134,21,165,6,48.0,66,199.99,2016-04-03 00:00:00+01:00,2,1,-179.0,0,1
1,0.8080259384975771,0.0785026864323174,29.0,37,64,1,0,34,725.0,5.0,6,18.207714,-66.37053,1,1466,47,9184.391,2015-07-28 00:00:00+01:00,0.028,0.09,0.0150753768844221,0.49,0.75,179.97,0.0788961138421733,75.679405,17,162,1,29.0,97,39.99,2015-07-29 00:00:00+01:00,2,0,1.0,0,1
1,0.8006890675883609,0.0522037743372397,40.0,0,64,1,0,34,725.0,6.0,8,18.201406,-66.370544,1,309,70,9403.116,2015-06-17 00:00:00+01:00,0.0442,0.16,0.007537688442211,0.35,1.0,129.99,0.0519534282018111,45.734226,17,321,1,43.0,84,24.99,2015-07-09 00:00:00+01:00,3,-1,22.0,0,1
1,0.7998980295340239,0.1696118505979221,45.0,18,64,1,0,34,725.0,7.0,3,18.254911,-66.370605,3,1563,6,7050.6885,,0.08,0.1,0.1959748743718593,0.13,0.0,399.98,0.1757866908150065,41.16128,11,929,1,45.0,23,399.98,,3,-1,11.0,0,0
3,0.801472649105482,0.046607490090236,29.0,37,509,0,1,29,23233.688,5.0,6,43.18877,-80.194176,1,341,48,3742.877,2017-06-21 00:00:00+01:00,0.005217586,0.03548205,0.0150753768844221,0.48,0.5,99.99,0.04703234152652,47.37312,22,81,4,29.0,97,39.99,2017-08-07 00:00:00+01:00,0,1,47.0,0,1
1,0.8014103977677238,0.0629718328328621,18.0,33,317,0,0,3,92791.484,4.0,0,33.89705,-118.17373,1,1931,142,6356.5967,2017-08-07 00:00:00+01:00,0.0026,0.01,0.0603015075376884,0.35,0.0,129.99,0.0629314877102199,52.03805,10,281,1,18.0,52,129.99,2017-09-17 00:00:00+01:00,3,-1,41.0,0,1
3,0.8148149737041546,0.1245723751595017,17.0,12,64,1,2,34,725.0,4.0,0,18.291727,-66.37059,3,1413,75,573.1643,2016-09-12 00:00:00+01:00,0.09,0.15,0.0251256281407035,0.43,1.0,299.95,0.1280612884864165,107.96885,17,859,4,17.0,67,59.99,,3,-1,11.0,0,1
3,0.7843531396550536,0.136997058039066,43.0,9,64,1,1,34,725.0,7.0,3,18.260483,-66.37055,3,2019,95,9701.083,,0.040988872,0.06,0.1457236180904522,-0.13,0.0,299.98,0.1435852522639068,-17.345127,15,960,4,45.0,20,299.98,2015-08-04 00:00:00+01:00,3,1,11.0,0,0
1,0.7974065482396712,0.0282586029676837,29.0,37,64,1,0,34,725.0,5.0,6,18.210218,-66.37055,1,897,125,9249.958,2017-09-09 00:00:00+01:00,0.025269207,0.19109133,0.0150753768844221,0.45,0.25,79.98,0.0294971725743855,28.622063,17,528,1,29.0,97,39.99,,3,0,11.0,0,1
3,0.784961529752199,0.0497294763960425,18.0,33,519,0,0,30,67248.12,4.0,0,36.706944,-90.5499,4,1730,143,10171.57,2016-09-02 00:00:00+01:00,0.052,0.2,0.0603015075376884,-0.20965783,0.0,129.99,0.0478539818887451,-28.199287,6,633,6,18.0,52,129.99,2016-05-16 00:00:00+01:00,3,1,-109.0,0,0
3,0.8308372183818294,0.1882488749172685,9.0,10,338,0,0,3,92025.164,3.0,5,33.757782,-117.80888,3,161,138,419.99564,2016-04-15 00:00:00+01:00,0.032,0.04,0.0452261306532663,0.48,0.75,357.1,0.1918183803363518,172.003,20,410,6,9.0,57,99.99,2016-09-29 00:00:00+01:00,3,1,167.0,0,1
3,0.7953269561123487,0.0305985502244286,29.0,37,64,1,1,34,725.0,5.0,6,18.255863,-66.37052,3,634,9,1277.8376,2016-04-01 00:00:00+01:00,0.027492912,0.16,0.0150753768844221,0.29,0.25,79.98,0.0269789376455368,19.965775,13,241,6,29.0,97,39.99,,3,1,11.0,0,0
2,0.7682652619249937,0.0596068145529801,18.0,33,64,1,0,34,725.0,4.0,0,18.289625,-66.370605,1,1471,70,5667.675,2015-07-20 00:00:00+01:00,0.02013388,0.09,0.0603015075376884,-0.8,0.0,129.99,0.0586804657179818,-96.09058,17,2,5,18.0,52,129.99,2015-08-08 00:00:00+01:00,2,1,19.0,0,0
1,0.7926949672737295,0.0610249575029511,18.0,33,481,0,1,29,11371.309,4.0,0,40.72732,-73.90403,2,785,31,9715.845,2015-05-07 00:00:00+01:00,0.006,0.02,0.0603015075376884,0.08,0.0,129.99,0.0620439844760672,6.831359,1,325,1,18.0,52,129.99,2015-06-03 00:00:00+01:00,3,-1,27.0,0,0
1,0.8095984865535218,0.0919627595518453,24.0,46,147,0,2,4,11420.187,5.0,6,40.69048,-74.01383,3,1316,103,10495.904,2015-10-20 00:00:00+01:00,0.07678,0.16346905,0.0201055276381909,0.45,0.75,239.96,0.0939197930142302,78.58626,20,728,1,24.0,55,50.0,,3,-1,11.0,0,1
2,0.642926647222286,0.1914315195602833,45.0,18,441,0,0,23,30326.36,7.0,3,34.27039,-83.15755,3,1400,138,10683.915,2016-06-15 00:00:00+01:00,0.06238,0.05,0.1959748743718593,-1.7,0.0,399.98,0.1927415161707633,-673.17944,20,658,5,45.0,23,399.98,2016-10-03 00:00:00+01:00,3,-1,110.0,0,0
1,0.8052318503548217,0.0784769311000983,17.0,12,64,1,1,34,725.0,4.0,0,18.288956,-66.370605,4,1431,143,4427.496,2016-06-30 00:00:00+01:00,0.018,0.06,0.0251256281407035,0.41,0.5,179.97,0.0827322121604139,64.352455,21,165,1,17.0,67,59.99,2016-07-31 00:00:00+01:00,3,0,31.0,0,1
3,0.7978739285304182,0.0971424079432389,17.0,12,88,0,1,33,14449.525,4.0,0,40.647522,-75.20875,3,2348,6,9710.102,2016-07-10 00:00:00+01:00,0.0781246,0.16,0.0251256281407035,0.11,0.75,239.96,0.0985983078913324,33.95732,11,632,6,17.0,67,59.99,,0,1,11.0,0,0
1,0.8051691470500425,0.0950572717776344,46.0,29,279,0,1,4,49298.09,7.0,3,45.081192,-90.07128,2,2164,99,3759.903,,0.0046346216,0.01,0.0200954773869346,0.34,0.75,199.92,0.0944375523932729,56.74875,3,561,1,46.0,63,49.98,,3,1,11.0,0,1
1,0.8086763865604115,0.2084970958737784,9.0,10,22,0,1,42,89057.125,3.0,5,46.524044,-95.286156,2,1822,4,1037.067,2015-04-30 00:00:00+01:00,0.16,0.17,0.0452261306532663,0.2,1.0,499.95,0.2053661785252264,79.829636,12,149,1,9.0,57,99.99,2015-05-19 00:00:00+01:00,3,0,19.0,0,0
0,0.8008081788117493,0.0616258255209093,18.0,33,172,0,1,33,19711.2,4.0,0,37.71875,-76.59242,3,980,85,290.19684,,0.008,0.03,0.0603015075376884,0.35,0.0,129.99,0.0606985769728331,48.26285,15,556,0,18.0,52,129.99,,1,0,11.0,0,1
2,0.8030008221757803,0.0992104912315911,17.0,12,283,0,2,3,92341.58,4.0,0,33.415104,-117.541824,2,1162,6,10030.699,2015-06-27 00:00:00+01:00,0.08531606,0.17,0.0251256281407035,0.27,0.75,239.96,0.0991875808538162,54.870354,3,321,5,17.0,67,59.99,2015-09-05 00:00:00+01:00,3,0,70.0,0,0
3,0.8026894230990056,0.0836834944607797,46.0,29,64,1,2,34,725.0,7.0,3,18.23321,-66.37057,2,2338,40,4837.7744,2015-06-10 00:00:00+01:00,0.0048,0.01,0.0200954773869346,0.33,0.5,150.0,0.0830508460543337,55.432682,3,778,6,46.0,63,49.98,2015-05-19 00:00:00+01:00,3,-1,-22.0,0,1
0,0.8056467147417495,0.0837210532417344,27.141224,46,430,0,0,13,48691.668,5.0,6,41.76409,-88.2864,4,1211,143,5728.2974,2016-06-30 00:00:00+01:00,0.056,0.12,0.0150753768844221,0.35,1.0,199.98,0.0892522639068564,61.136673,6,671,0,29.0,24,39.99,2016-10-03 00:00:00+01:00,3,-1,95.0,0,1
0,0.7865786181475782,0.0407680755070839,17.0,12,204,0,0,6,60404.926,4.0,0,39.29745,-95.45213,1,1757,48,11771.507,2015-08-12 00:00:00+01:00,0.06,0.25,0.0251256281407035,-0.20210451,0.25,119.98,0.041640362225097,-15.158615,22,342,0,17.0,67,59.99,2015-08-22 00:00:00+01:00,3,1,10.0,0,0
2,0.8059136554670097,0.0694186798080936,17.0,12,541,0,0,2,85720.81,4.0,0,29.499817,-106.67287,2,2685,47,2194.0854,2015-05-01 00:00:00+01:00,0.064,0.18,0.0251256281407035,0.48,0.5,179.97,0.0734230271668822,63.989452,3,25,5,17.0,67,59.99,2015-04-23 00:00:00+01:00,1,0,-8.0,0,1
0,0.7879076294697196,0.0569147999290745,17.0,12,378,0,0,5,85016.31,4.0,0,38.725513,-106.50335,1,2476,70,9281.973,2015-08-27 00:00:00+01:00,0.0036,0.01,0.0251256281407035,-0.08,0.25,119.98,0.0584413454075032,-11.137604,17,712,0,17.0,67,59.99,2015-07-19 00:00:00+01:00,3,1,-39.0,0,0
3,0.7968014808350367,0.0207316177394026,29.0,21,64,1,0,34,725.0,5.0,6,18.28072,-66.370575,1,2686,142,6116.484,2015-07-10 00:00:00+01:00,0.017,0.16,0.0100552763819095,0.5,0.25,59.994244,0.0213900543337645,27.737318,10,281,6,26.0,54,30.0,2015-09-02 00:00:00+01:00,2,1,54.0,0,1
1,0.7988575748111063,0.0565462527731594,18.0,33,64,1,0,34,725.0,4.0,0,18.242779,-66.37052,1,408,52,2376.3647,2015-05-08 00:00:00+01:00,0.0234,0.09,0.0603015075376884,0.29,0.0,129.99,0.0569732181112548,42.048347,22,653,1,18.0,52,129.99,2015-06-13 00:00:00+01:00,1,1,36.0,0,0
3,0.8163464988631927,0.1613287286782126,43.0,9,257,0,0,43,44570.004,7.0,3,34.236603,-89.80853,3,1941,90,4654.816,,0.0,0.0,0.1457236180904522,0.36,0.0,299.98,0.1513583441138422,107.956024,15,910,6,43.0,20,299.98,,0,1,11.0,0,1
3,0.79351947178651,0.0515720050975699,18.0,33,64,1,0,34,725.0,4.0,0,18.261477,-66.04541,2,1306,37,1695.0342,,0.0442,0.17,0.0603015075376884,0.1,0.0,129.99,0.0520642742561448,12.586501,1,489,4,18.0,52,129.99,2015-05-12 00:00:00+01:00,0,1,11.0,0,0
1,0.8077794295294307,0.0816133766306059,46.0,29,269,0,0,39,79929.82,7.0,3,41.75622,-98.585846,4,2145,143,3365.6587,2016-09-15 00:00:00+01:00,0.06427648,0.18,0.0200954773869346,0.49,0.75,199.92,0.0787320672703751,79.883575,21,165,1,46.0,63,49.98,2016-05-23 00:00:00+01:00,3,0,-115.0,0,1
0,0.7933175063730106,0.0857522300449831,48.0,45,64,1,0,34,725.0,7.0,3,18.224066,-66.3706,1,1533,142,12004.692,2017-07-31 00:00:00+01:00,0.0397143,0.1,0.0954773869346733,0.0,0.0,199.99,0.0902925071151358,10.08204,10,281,0,48.0,66,199.99,2016-10-03 00:00:00+01:00,3,1,-301.0,0,0
0,0.7908353577612934,0.0935015565264794,48.0,45,64,1,1,34,725.0,7.0,3,18.228886,-66.37055,2,1018,90,5544.73,2015-05-25 00:00:00+01:00,0.036,0.09,0.0954773869346733,-0.03,0.0,199.99,0.0892664786545925,2.2897367,3,634,0,48.0,66,199.99,2015-07-24 00:00:00+01:00,2,1,60.0,0,0
1,0.8021493091886182,0.0474315105896623,40.0,0,64,1,0,34,725.0,6.0,8,18.270634,-66.043755,3,1283,64,1484.621,,0.054,0.2,0.007537688442211,0.47,1.0,124.955215,0.04827425614489,52.294857,13,461,1,29.0,105,24.99,,0,1,11.0,0,1
3,0.7975990296947845,0.047456116638715,18.0,33,169,0,0,3,92345.52,4.0,0,33.647263,-117.6066,2,2392,61,625.2799,2015-06-08 00:00:00+01:00,0.04880442,0.2,0.0603015075376884,0.29,0.0,129.99,0.0499353169469598,28.331846,3,301,4,18.0,52,129.99,2015-10-06 00:00:00+01:00,0,1,120.0,0,0
1,0.8319678869163815,0.2379509300381958,9.0,10,399,0,0,3,92343.36,3.0,5,33.977974,-117.54655,2,2392,61,7846.9736,2017-06-08 00:00:00+01:00,0.072,0.07,0.0452261306532663,0.36,1.0,499.95,0.2309218111254851,181.57088,3,301,1,9.0,57,99.99,,3,1,11.0,0,1
1,0.8116875100475393,0.1607493139460265,43.0,9,64,1,0,34,725.0,7.0,3,18.257195,-66.370605,4,1431,143,3284.2234,2016-07-07 00:00:00+01:00,0.008,0.01,0.1457236180904522,0.31,0.0,299.98,0.1512427736093143,91.1629,14,300,1,43.0,20,299.98,2016-09-01 00:00:00+01:00,2,0,56.0,0,1
1,0.820822602944216,0.1758241920377043,45.0,18,89,0,2,8,33067.598,7.0,3,29.692806,-81.5166,1,458,114,1659.5944,,0.099994866,0.12,0.1959748743718593,0.36,0.0,399.98,0.1699818887451488,128.23416,8,958,1,45.0,23,399.98,,3,1,11.0,0,1
0,0.7982145244930299,0.0461467414334521,46.0,29,205,0,0,38,75241.805,7.0,3,29.76547,-97.7863,2,386,4,10925.472,2017-09-24 00:00:00+01:00,0.0036,0.010120763,0.0200954773869346,0.34,0.25,99.96,0.0473483880983182,34.201145,12,306,0,46.0,63,49.98,,3,1,11.0,0,1
3,0.7978446958179272,0.0484703926832102,29.0,37,64,1,2,34,725.0,5.0,6,18.240831,-66.37063,4,730,143,7260.0103,2016-09-12 00:00:00+01:00,0.018,0.09,0.0150753768844221,0.34,0.5,119.98,0.0499603337645536,32.141796,18,653,4,29.0,97,39.99,2016-06-15 00:00:00+01:00,3,0,-89.0,0,1
2,0.7919286834623246,0.1716826310778495,45.0,18,183,0,0,3,92068.37,7.0,3,33.96105,-118.21321,2,750,90,4493.752,,0.12253618,0.16,0.1959748743718593,0.058592774,0.0,399.98,0.1699818887451488,7.746261,3,81,5,45.0,23,399.98,,2,1,11.0,0,0
1,0.7436607721103278,0.0215579243804788,24.0,46,140,0,0,20,60608.65,5.0,6,42.56625,-84.26904,4,571,143,9997.565,2016-04-11 00:00:00+01:00,0.0,0.0,0.0201055276381909,-2.6171517,0.0,50.0,0.0240542856403622,-194.97086,21,942,2,24.0,55,50.0,2016-05-17 00:00:00+01:00,3,0,36.0,0,0
1,0.7526504719472705,0.0571956288238598,18.0,33,64,1,0,34,725.0,4.0,0,18.207615,-66.37062,2,386,4,991.02747,,0.016,0.06,0.0603015075376884,-1.6,0.0,129.99,0.0593343182406209,-110.35262,12,148,1,18.0,52,129.99,,3,-1,11.0,0,0
1,0.7688776359001447,0.0528767779932161,18.0,33,64,1,2,34,725.0,4.0,0,18.252457,-66.03328,2,1844,56,1375.3433,2015-09-02 00:00:00+01:00,0.044,0.16,0.0603015075376884,-0.77,0.0,129.99,0.0526261319534282,-119.7511,3,346,1,18.0,52,129.99,,3,1,11.0,0,0
1,0.8035031038283995,0.0888565888319543,48.0,45,64,1,0,34,725.0,7.0,3,18.22034,-66.37063,2,1417,107,7935.0566,,0.04,0.1,0.0954773869346733,0.33,0.0,199.99,0.0892633997412677,57.043663,12,379,1,48.0,66,199.99,2015-05-20 00:00:00+01:00,1,1,11.0,0,1
3,0.7870393776267138,0.0211472880936141,17.0,12,208,0,0,3,92024.3,4.0,0,34.00687,-117.099266,2,2392,61,6570.178,,0.0234,0.18,0.0251256281407035,-0.24,0.0,59.99,0.0213535627425614,-13.678007,3,301,4,17.0,67,59.99,2017-05-20 00:00:00+01:00,2,0,11.0,0,0
1,0.8320707622350321,0.1778949725176316,45.0,18,64,1,1,34,725.0,7.0,3,18.235556,-66.37058,3,1496,46,7074.7725,2016-05-26 00:00:00+01:00,0.06,0.086574174,0.1959748743718593,0.48,0.0,399.98,0.1824010349288486,181.80397,15,174,2,45.0,23,399.98,,3,-1,11.0,0,1
3,0.7959768038490688,0.0220739183542964,17.0,12,471,0,0,13,60621.35,4.0,0,42.3499,-87.973076,2,216,56,4752.8374,,0.018,0.15,0.0251256281407035,0.47,0.0,59.99,0.0215782664941785,24.625042,3,336,4,17.0,67,59.99,,3,1,11.0,0,1
2,0.8009975364582137,0.0730878957404769,29.0,37,64,1,0,34,725.0,5.0,6,18.282587,-66.370575,3,428,27,6534.4985,,0.081414292,0.2,0.0150753768844221,0.27,1.0,199.98,0.0808732884864165,43.550438,7,698,5,29.0,97,39.99,2016-04-23 00:00:00+01:00,0,1,11.0,0,0
1,0.8006983023677744,0.0785026864323174,29.0,37,64,1,2,34,725.0,5.0,6,18.268618,-66.02609,2,1609,56,1377.3639,,0.03,0.09,0.0150753768844221,0.29,0.75,179.97,0.0788676739974126,39.99752,3,346,1,29.0,97,39.99,,3,1,11.0,0,0
3,0.7844627875892796,0.0878116057014173,17.0,12,263,0,2,29,10030.205,4.0,0,40.778683,-73.90001,3,393,138,6881.35,2016-09-16 00:00:00+01:00,0.008,0.03,0.0251256281407035,-0.06061557,0.5,179.97,0.0865124243208279,-24.263666,20,281,6,17.0,67,59.99,2016-09-14 00:00:00+01:00,3,-1,-2.0,0,0
3,0.8173594791355672,0.1323378019592294,17.0,12,514,0,0,27,77996.9,4.0,0,34.020775,-111.88028,4,1048,143,2170.9233,2016-06-04 00:00:00+01:00,0.042,0.07,0.0251256281407035,0.45,1.0,299.95,0.1368620543337645,114.91186,18,886,4,17.0,67,59.99,2016-08-25 00:00:00+01:00,2,1,82.0,0,1
1,0.8127840993959994,0.194067990674766,45.0,18,455,0,2,3,92688.71,7.0,3,32.9636,-117.43224,4,2035,143,6863.1504,,0.03833614,0.05,0.1959748743718593,0.28,0.0,399.98,0.1927503234152652,108.48276,6,504,1,45.0,23,399.98,,1,1,11.0,0,0
2,0.8187390028247938,0.2408643887496737,9.0,10,551,0,2,4,30320.816,3.0,5,42.98813,-84.35379,2,1002,18,3365.799,2017-08-29 00:00:00+01:00,0.033,0.03,0.0452261306532663,0.26,1.0,499.95,0.2409145045278137,119.005295,12,206,5,9.0,57,99.99,2017-05-21 00:00:00+01:00,3,-1,-100.0,0,0
3,0.7571029258434192,0.1463155701987392,17.0,12,501,0,0,28,62210.09,4.0,0,37.67028,-97.21588,2,731,31,5479.3633,2017-04-20 00:00:00+01:00,0.018,0.03,0.0251256281407035,-0.73,1.0,299.95,0.145143596377749,-114.76181,1,467,6,17.0,67,59.99,2017-04-09 00:00:00+01:00,0,1,-11.0,0,0
3,0.7756706910410399,0.1186304931812517,43.0,9,505,0,0,41,98304.37,7.0,3,47.64729,-122.04958,1,231,142,9285.251,,0.136,0.2,0.1457236180904522,-0.25,0.0,299.98,0.1203053040103492,-79.659996,10,281,6,43.0,20,299.98,2015-07-15 00:00:00+01:00,3,1,11.0,0,0
1,0.8001769630020898,0.097138188728011,48.0,45,64,1,2,34,725.0,7.0,3,18.258604,-66.043945,3,2625,46,33.36731,,0.008,0.02,0.0954773869346733,0.25,0.0,199.99,0.0975472186287192,42.54058,15,18,1,48.0,66,199.99,2015-06-10 00:00:00+01:00,3,-1,11.0,0,0
3,0.8052506501619089,0.1447576185046658,43.0,9,64,1,2,34,725.0,7.0,3,18.291302,-66.370544,2,432,31,7720.049,2017-06-25 00:00:00+01:00,0.0144,0.02,0.1457236180904522,0.22,0.0,299.98,0.1498007761966365,67.73196,1,167,4,43.0,20,299.98,2017-08-26 00:00:00+01:00,3,-1,62.0,0,0
3,0.7121439358794754,0.0805513820384263,24.0,46,64,1,0,34,725.0,5.0,6,18.229263,-66.37056,2,1602,107,9295.933,,0.0052,0.02,0.0201055276381909,-1.759714,0.5,150.0,0.0729366106080207,-331.99606,12,971,6,24.0,55,50.0,,2,1,11.0,0,0
3,0.7918144260615942,0.0919556981904088,48.0,45,64,1,1,34,725.0,7.0,3,18.25911,-66.37051,1,2392,70,6115.6855,2015-07-28 00:00:00+01:00,0.016,0.04,0.0954773869346733,0.06,0.0,199.99,0.095473873221216,4.1736255,22,301,6,48.0,66,199.99,2015-08-23 00:00:00+01:00,2,1,26.0,0,0
1,0.7976683372757963,0.0495117597133341,18.0,33,64,1,0,34,725.0,4.0,0,18.201122,-66.37057,3,206,135,1021.812,2015-08-07 00:00:00+01:00,0.045264312,0.17,0.0603015075376884,0.29,0.0,129.99,0.0500504424320827,28.581306,15,99,1,18.0,52,129.99,,3,-1,11.0,0,0
3,0.7838483788439015,0.0989804896436856,48.0,45,158,0,1,38,78581.68,7.0,3,29.72069,-98.98998,3,1496,46,2111.028,,0.0048,0.01,0.0954773869346733,-0.16,0.0,199.99,0.0985742509702458,-34.772823,15,174,4,48.0,66,199.99,2016-05-11 00:00:00+01:00,3,0,11.0,0,0
1,0.8196394276921664,0.1478686555586847,43.0,9,64,1,0,34,725.0,7.0,3,18.239977,-66.37051,3,1952,64,7006.401,,0.0168,0.03,0.1457236180904522,0.42,0.0,299.98,0.1451369521345407,128.96223,13,700,1,45.0,20,299.98,,3,0,11.0,0,1
2,0.7931481525159039,0.0176707360239978,46.0,29,398,0,0,3,92426.914,7.0,3,34.16379,-118.26988,2,1367,90,11865.962,,0.014,0.13,0.0200954773869346,0.25,0.0,49.98,0.0182853247089262,10.275372,3,341,5,46.0,63,49.98,2017-04-02 00:00:00+01:00,3,1,11.0,0,0
3,0.8114384504972096,0.0981719119896884,48.0,45,280,0,1,3,90006.35,7.0,3,33.998188,-118.28127,2,1900,90,711.5498,,0.0072,0.02,0.0954773869346733,0.48,0.0,199.99,0.0965071151358344,87.53163,3,415,4,48.0,66,199.99,,3,-1,11.0,0,1
3,0.8119384240865352,0.1230192897995562,46.0,29,119,0,1,13,60125.86,7.0,3,41.89435,-89.08583,1,1217,52,12143.5625,2017-06-26 00:00:00+01:00,0.0036,0.0,0.0200954773869346,0.36,1.0,249.9,0.1249624838292367,95.97334,22,653,4,46.0,63,49.98,2017-09-23 00:00:00+01:00,3,-1,89.0,0,1
